業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
蔵書分析業務	在庫状況を把握するフロー	""	在庫を区分ごとに集計する	""	在庫状況を区分別に集計する	情報	統計レポート	""	""	書籍状態（貸出中・在庫あり・予約待ち）ごとに蔵書を集計し、区分別件数と書籍一覧のレポートを作成する	""
蔵書分析業務	在庫状況を把握するフロー	""	在庫を区分ごとに集計する	""	在庫状況を区分別に集計する	情報	書籍	""	""	""	""
蔵書分析業務	在庫状況を把握するフロー	""	在庫を区分ごとに集計する	""	在庫状況を区分別に集計する	条件	在庫状況集計条件	""	""	""	""
蔵書分析業務	在庫状況を把握するフロー	""	在庫を区分ごとに集計する	""	在庫状況を区分別に集計する	画面	在庫状況集計条件指定画面	アクター	司書	""	提供者
蔵書分析業務	貸出統計を把握するフロー	""	選書・購入判断の材料を得る	""	貸出統計レポートを参照する	情報	統計レポート	""	""	司書が指定期間の貸出件数と人気書籍ランキングをレポートとして参照し、選書・購入判断や運用改善に活かす	""
蔵書分析業務	貸出統計を把握するフロー	""	選書・購入判断の材料を得る	""	貸出統計レポートを参照する	情報	貸出	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	選書・購入判断の材料を得る	""	貸出統計レポートを参照する	情報	書籍	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	選書・購入判断の材料を得る	""	貸出統計レポートを参照する	条件	貸出統計集計条件	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	選書・購入判断の材料を得る	""	貸出統計レポートを参照する	画面	貸出統計レポート画面	アクター	司書	""	受益者
蔵書分析業務	貸出統計を把握するフロー	""	期間を指定して実績を集計する	""	期間別貸出統計を集計する	情報	統計レポート	""	""	指定された集計期間区分で貸出件数と書籍別貸出回数のランキングを集計する。実績のない期間は実績なしとして案内する	""
蔵書分析業務	貸出統計を把握するフロー	""	期間を指定して実績を集計する	""	期間別貸出統計を集計する	情報	貸出	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	期間を指定して実績を集計する	""	期間別貸出統計を集計する	情報	書籍	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	期間を指定して実績を集計する	""	期間別貸出統計を集計する	条件	貸出統計集計条件	""	""	""	""
蔵書分析業務	貸出統計を把握するフロー	""	期間を指定して実績を集計する	""	期間別貸出統計を集計する	画面	集計期間指定画面	アクター	司書	""	提供者
